ano,id,numero,situacao,alteraPortaria,alteradaPorPortaria,rawAlteracao
2023,99d45b43-5758-441a-b481-555c5b4ab5c9,CPV.0104,vigente,,,"vigente"
2023,8c348947-249e-4d11-aa2c-5a916fb6d7cc,CPV.0108,vigente,,,"vigente"
2023,c0b8ec0f-5ec1-4f8a-97c9-f520acadc4af,CPV.0107,vigente,,,"vigente"
2023,1d858b41-c7d8-4884-9906-d50b0900bde9,CPV.0109,vigente,Altera 101/2023,,"vigente"
2023,b5b99d98-dbdd-4985-810c-825d247a8304,CPV.0111,vigente,Retifica 110/2023,,"vigente"
2023,902f3640-ebb6-492f-9285-ad63ea47a6d1,CPV.0112,vigente,,,"vigente"
2023,314e7473-8d04-4e45-a46d-18f0a8bbc1ad,CPV.0113,vigente,,,"vigente"
2023,fa50c79b-6336-4f9f-9669-97a019e5a38a,CPV.0115,vigente,,,"vigente"
2023,fedd8fe5-2b3f-49aa-b3f1-5cbb4b164eaa,CPV.0114,vigente,retifica 60/2023,,"vigente"
2023,83407f3b-b08e-43ee-84c9-f08a2df80184,CPV.0117,vigente,Altera 125/2022,,"vigente"
2023,8f8c0f99-4464-4f7c-b154-f2229cbe4fa2,CPV.0118,alterada,Altera 23/2023,,"Alterada pela portaria 138/2023"
2023,e3772581-8bb8-45d6-8a99-ced6bf2f387d,CPV.0116,alterada,Altera 102/2023,,"Alterada pela portaria 126/2023"
2023,907ab3a5-4447-4eeb-876e-513287b85d88,CPV.0123,vigente,,,"vigente"
2023,d57ca197-f4dc-426e-ad9a-fe9456aedd3e,CPV.0119,vigente,,,"vigente"
2023,fb3b89aa-f1fc-4b9d-ac2e-13cf5c82020f,CPV.0121,vigente,,,"vigente"
2023,04cbe1e1-713b-4c16-8cf1-579d2106aee2,CPV.0120,vigente,Altera 48/2023,,"vigente"
2023,824fe36c-3687-4664-b961-e3f421d154c7,CPV.0122,vigente,,,"vigente"
2023,ed50c961-dd35-43c6-b059-5334254ae7ae,CPV.0126,vigente,Altera 116/2023,,"vigente"
2023,c5ff700c-9578-43ef-a7d7-1473f17260e2,CPV.0127,vigente,,,"vigente"
2023,a31a9a0c-2f38-4abd-bd12-97e964601338,CPV.0124,vigente,,,"vigente"
2023,a1e811f4-8ec0-4ed6-a8a5-b113a21b59d1,CPV.0125,alterada,,n,"Alterada pela Portaria nº 129/2023"
2023,c1a77ed2-6243-41f0-a0c2-b79985b0acf5,CPV.0128,alterada,,137/2023,"Alterada pela Portaria 137/2023"
2023,910ab168-02b9-47ce-8e8d-b26b01342667,CPV.0129,vigente,Altera 125/2023,,"vigente"
2023,71d13fb2-70a2-4a6d-b1e7-9b62336fbb80,CPV.0131,vigente,Altera 43/2022,,"vigente"
2023,0f7f6607-6c16-4a8c-b077-2373d1b83b16,CPV.0130,vigente,Altera 90/2023,,"vigente"
2023,6442d949-3ff7-4370-8a72-b9e8461ba305,CPV.0132,vigente,Altera 117/2022,,"vigente"
2023,ac483ebe-440c-4ead-ad3f-7cfe90e02b44,CPV.0133,alterada,Altera 74/2023,,"alterada pela portaria 136/2023"
2023,308e0f73-a4f6-478c-ae32-39638734054e,CPV.0134,vigente,Altera 41/2023,,"vigente"
2023,6da0188e-b59a-4828-8aa4-a6f88aef0425,CPV.0135,vigente,,,"vigente"
2023,6d69e1e2-20da-4cc4-b1f9-4503d5cd7fc9,CPV.0136,vigente,Altera 133/2023,,"vigente"
2023,7a51ec72-de49-4cc8-ac36-f38c1f17db58,CPV.0137,vigente,Altera 128/2023,,"vigente"
2023,5f755d6a-5e81-47e0-8aab-ac4e7cb1cf74,CPV.0140,vigente,,,"vigente"
2023,c3e8ecdd-0e9d-420a-ad17-67cdfcd41653,CPV.0139,vigente,Altera 25/2023,,"vigente"
2023,16b37b35-fb94-44e6-972a-4a7e73e1a3d1,CPV.0138,vigente,Altera 118/2023,,"vigente"
2023,bedca913-9a91-4cc5-927c-e49f7c5c9dd6,CPV.0141,vigente,,,"vigente"
2023,664e97dd-8989-4abb-a75e-72d50a7bf3c3,CPV.0142,vigente,,,"vigente"
