numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,alteracao,link
CPV.0011,02/07/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Informática Integrado ao Ensino Médio do IFSP - Câmpus Capivari,C,P,Alterada pela portaria 17/2022," até a formatura da primeira turma do novo currículo do curso a ser proposto.","Everton Pereira Barbosa; Alexandre Camargo Maia ;André Valente de Barros Barreto;Bruna Carolina Rodrigues da Cunha; Edivaldo Serafim ;Fabiana BigatonTonin ;Francine Maria Ribeiro,Gianna Andréia Ferreira Gobbi Spadote ;Gustavo Baptistella Leiteda Silva; Irlla Karla dos Santos Diniz; Isabel Cristina das Chagas Oliveira ; Karlan Ricomini Alves ; Maria Amélia Ferracciú Pagotto ; Maria Elisa de Castro Almeida ; Rolando Ruggiero; Erica maio Taveira Grande",Altera CPV.100/2021,"https://drive.google.com/file/d/1YroLF3KV9RHDucpFXoL5RF_-v7itfwHF/view?usp=sharing"
CPV.0012,02/07/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC)Técnico em Informática para internet Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,Alterada pela portaria 18/2022," até a formatura da primeira turma do novo currículo do curso a ser proposto.","Everton Pereira Barbosa ;Alexandre Camargo Maia; André Valente de Barros Barreto; Bruna Carolina Rodrigues da Cunha ;Edivaldo Serafim ; Érica Maio Taveira Grande; Fabiana Bigaton Tonin; francine Maria Ribeiro, Gianna Andréia Ferreira Gobbi Spadote ;Gustavo Baptistella Leite da Silva; Irlla Karla dos Santos Diniz ;Isabel Cristina das Chagas Oliveira ;Karlan Ricomini Alves ; Maria Amélia Ferracciú Pagotto ;Maria Elisa de Castro Almeida ; Rolando Ruggiero",Altera CPV.147/2021,"https://drive.google.com/file/d/131vsttuzHPS1tY1zsYkPwlArCjD-vF3X/view?usp=sharing"
CPV.0013,02/07/2022,Banca Examinadora Química tecnológica,C,T,extinta,3/31/2022,"André Luis de Castro Peixoto, Mateus Nordi Esperança,Isabel Cristina das Chagas Oliveira, Alexandre Santa Bárbara Azevedo",,"https://drive.google.com/file/d/1caAsVrp8OvlQFgDb5uw_NYEUoi13Fvfe/view?usp=sharing"
CPV.0014,02/15/2022,"Trata da designação dos fiscais técnicos, fiscais administrativos e gestores do Contrato 05.712/2019 (Paulistana Segurança Patrimonial Ltda.) do IFSP-Câmpus Capivari.",F,P,revogada pela portaria 46/2023,"até o vencimento do contrato e de sua garantia, quando houver.","Luciana Martins Gatti;Renan Giollo Francisco; Eduardo Camargo Maia;Luciane Belini de Oliveira Sabó;Antonio Carlos da Silva Bomfim, Cesar eduardo armelin",Altera CPV.9/2022,"https://drive.google.com/file/d/1U86p8yP2FRkm5P_dkif2ZbApzEuOOawd/view?usp=sharing"
CPV.0015,02/15/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Alimentos concomitante/subsequente do IFSP - Câmpus Capivari.,C,P,revogada pela portaria 52/2022,4/11/2022,Alexandre Santa Bárbara Azevedo ;Adria de souza bentes ;Camila Centurion Silva ;Carolina Marocco Corneta;Gislaine Vieira Damiani ;Grazielle Cristine Elias;Hugo Antonio Lima de Souza ;Isabel Cristina das Chagas Oliveira ;Luana Karoline Carrasco dos Santos ;Luís Eduardo Pais dos Santos ;Mateus Nordi Esperança ;Regiane de Brito Vieira ;Silvânia Regina Mendes Moreschi,Altera CPV.0180/2021,"https://drive.google.com/file/d/1EtHzB10u-YDWoInBi5yJhxvtgk6v6KHd/view?usp=sharing"
CPV.0016,02/15/2022,"Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Administração Integrado ao Ensino Médio, na modalidade Jovens e Adultos - PROEJA do IFSP - Câmpus Capivari.",C,P,Alterada pela portaria 127/2022,até a formatura da primeira turma do novo currículo do curso a ser proposto.,"Fernando Cesar Russo  gomes; Ana Karina Cancian Baroni; Carlos Roberto Paviotti;Flávio Henrique Ferraresi;Gianna Andréia Ferreira Gobbi Spadote;Gustavo Baptistella Leite da Silva;Hugo Antonio Lima de Souza;Ivonete Fernandes de Souza;Isabel Cristina das Chagas Oliveira;Josiane Donisete de Moraes Suzuki;Juscelino Pereira de Souza;Maiara Thaís Tolfo Gabbi;Maria Amélia Ferracciú Pagotto;Valdir Antonio Vitorino Filho",Altera CPV.0189/2021,"https://drive.google.com/file/d/1z2sChYA6BPOlgUrYle_hPXUZBhR1T9lI/view?usp=sharing"
CPV.0017,02/15/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico (CEIC) do Curso Técnico em Informática Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,revogada pela portaria CPV. 69/2022,"até a formatura da primeira turma do novo currículo do curso a ser proposto.","Everton Pereira Barbosa; Alexandre Camargo Maia ;André Valente de Barros Barreto;Bruna Carolina Rodrigues da Cunha; Edivaldo Serafim ;Fabiana BigatonTonin ;Francine Maria Ribeiro,Gianna Andréia Ferreira Gobbi Spadote ;Gustavo Baptistella Leiteda Silva; Irlla Karla dos Santos Diniz; Isabel Cristina das Chagas Oliveira ; Karlan Ricomini Alves ; Maria Amélia Ferracciú Pagotto ; Maria Elisa de Castro Almeida ; Rolando Ruggiero",Altera CPV.11/2022,"https://drive.google.com/file/d/1O_vz_VLsAs7XDZfiaKvuo9iQqoZ1u50z/view?usp=sharing"
CPV.0018,02/16/2022,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Informática para internet Integrado ao Ensino Médio do IFSP - Câmpus Capivari.,C,P,revogada pela portaria CPV. 70/2022," até a formatura da primeira turma do novo currículo do curso a ser proposto.","Everton Pereira Barbosa ;Alexandre Camargo Maia; André Valente de Barros Barreto; Bruna Carolina Rodrigues da Cunha ;Edivaldo Serafim ; Érica Maio Taveira Grande; Fabiana Bigaton Tonin; francine Maria Ribeiro, Gianna Andréia Ferreira Gobbi Spadote ;Gustavo Baptistella Leite da Silva; Irlla Karla dos Santos Diniz ;Isabel Cristina das Chagas Oliveira ;Karlan Ricomini Alves ; Maria Amélia Ferracciú Pagotto ;Maria Elisa de Castro Almeida ; Rolando Ruggiero",Altera CPV.12/2022,"https://drive.google.com/file/d/1VKh-Jx8WQw295I01YsBILYq7_VAD_kAd/view?usp=sharing"
CPV.0019,02/18/2022,"Trata da Aprovação e designação dos membros do  Projeto Institucional ""Curadoria de materiais didá3cos  para o Curso Superior de Tecnologia (CST) em  Processos Gerenciais - EaD"" para o  primeiro semestre letivo de 2022, do IFSP Câmpus  Capivari. ",P,T,extinta,7/1/2022,"Valdir Antonio Vitorino Filho ,Ana Karina Cancian Baroni ,Bruna Carolina Rodrigues da Cunha ,Fernando Cesar Russo Gomes .Hugo Antonio Lima de Souza ,Ione Arsenio da Silva ,Ivonete Fernandes de Souza, Juscelino Pereira de Souza ,Maiara Thais Tolfo Gabbi",,"https://drive.google.com/file/d/1vhiO_6ZksSlQJiYs2r0N2r_4ZL3bOurI/view?usp=sharing"
CPV.0020,03/03/2022,Trata da designação dos membros da Comissão de Educação a Distância (EaD) do IFSP – Câmpus Capivari.,C,P,revogada pela portaria CPV. 22/2022,sem mandato expresso,Valdir Antonio Vitorino Filho;Alexandre Garcia Aguado; Bruna Carolina Rodrigues da Cunha;Elielma de Araújo Prazeres; Gislaine Vieira Damiani; Ivonete Fernandes de Souza; Rafael Fernando Diorio; Rúbia Dias Adão; Tiago Pellim da Silva,Revoga CPV.198/2021,"https://drive.google.com/file/d/1ZFMGFshpjnHxoj3DAGwTYTFU6_v6zv7M/view?usp=sharing"
